Epoch, Loss, Acc
1, 9.9860, 0.844
2, 7.8548, 0.864
3, 6.7922, 0.857
4, 6.2742, 0.858
5, 6.0845, 0.855
6, 5.9035, 0.858
7, 5.7852, 0.860
8, 5.7242, 0.862
9, 5.6860, 0.862
10, 5.6560, 0.863
11, 5.6275, 0.863
12, 5.5992, 0.863
13, 5.5704, 0.864
14, 5.5413, 0.864
15, 5.5127, 0.863
16, 5.4854, 0.864
17, 5.4602, 0.864
18, 5.4371, 0.864
19, 5.4163, 0.864
20, 5.3970, 0.864
21, 5.3783, 0.864
22, 5.3600, 0.864
23, 5.3424, 0.864
24, 5.3252, 0.864
25, 5.3095, 0.864
26, 5.2946, 0.865
27, 5.2800, 0.864
28, 5.2660, 0.865
29, 5.2520, 0.865
30, 5.2378, 0.865
31, 5.2238, 0.865
32, 5.2099, 0.865
33, 5.1958, 0.866
34, 5.1817, 0.866
35, 5.1679, 0.866
36, 5.1544, 0.866
37, 5.1408, 0.866
38, 5.1274, 0.866
39, 5.1139, 0.866
40, 5.1004, 0.866
