Epoch, Loss, Acc
1, 10.7755, 0.852
2, 8.3801, 0.860
3, 7.4716, 0.866
4, 6.9859, 0.866
5, 6.7250, 0.865
6, 6.5644, 0.865
7, 6.4637, 0.866
8, 6.3805, 0.866
9, 6.3224, 0.867
10, 6.2905, 0.867
11, 6.2657, 0.867
12, 6.2521, 0.867
13, 6.2381, 0.867
14, 6.2238, 0.867
15, 6.2091, 0.867
16, 6.1939, 0.867
17, 6.1775, 0.867
18, 6.1602, 0.867
19, 6.1428, 0.868
20, 6.1251, 0.868
21, 6.1078, 0.868
22, 6.0896, 0.868
23, 6.0707, 0.868
24, 6.0524, 0.868
25, 6.0344, 0.868
26, 6.0168, 0.868
27, 5.9995, 0.868
28, 5.9828, 0.869
29, 5.9665, 0.869
30, 5.9504, 0.869
31, 5.9346, 0.869
32, 5.9191, 0.869
33, 5.9039, 0.869
34, 5.8889, 0.869
35, 5.8740, 0.869
36, 5.8593, 0.870
37, 5.8450, 0.870
38, 5.8310, 0.870
39, 5.8175, 0.870
40, 5.8043, 0.870
